nomor,nama_siswa,berat_badan,tinggi_badan,kelas
1,Budi Kurniawan,39.1,153.2,12
2,Zahra Nugroho,61.7,155.9,12
3,Arief Ramadhan,44.6,168.7,10
4,Reza Nugroho,47.3,148.7,10
5,Wahyuni Wijaya,57.1,160.6,11
6,Ahmad Kusuma,54.3,172.3,11
7,Dian Saputra,51.3,170.9,12
8,Dimas Pratama,45.3,158.5,10
9,Fajar Rahma,47.9,153.9,10
10,Muhammad Puspa,47.7,157.8,11
11,Rina Lestari,58.8,154.7,10
12,Fatimah Putri,48.5,172.2,11
13,Eko Wijaya,59.2,159.1,12
14,Rizky Utomo,55.7,180.1,12
15,Arief Ramadhan,62.4,163.8,10
16,Bayu Saputra,59.9,161.6,11
17,Salsa Putri,60.8,163.1,11
18,Indah Setiawan,54.1,153.3,11
19,Rizky Lestari,53.7,160.9,10
20,Bayu Lestari,56.1,166.3,11
21,Galih Wijaya,59.7,154.1,12
22,Putri Saputra,46.9,154.2,11
23,Nur Putri,54.1,158.5,12
24,Rina Santoso,61.4,150.2,11
25,Galih Saputra,65.1,152.6,11
26,Nur Setiawan,62.8,152.8,11
27,Nabila Kurniawan,38.8,159.3,11
28,Wahyuni Putri,65.6,154.7,12
29,Aditya Putri,49.4,160.7,10
30,Budi Saputra,63.6,146.2,11
31,Wahyuni Setiawan,66.0,170.7,11
32,Salsa Lestari,58.1,157.3,12
33,Budi Kurniawan,38.0,161.0,10
34,Aditya Ramadhan,63.6,162.1,12
35,Muhammad Lestari,43.6,164.1,11
36,Galih Puspa,56.3,152.8,10
37,Reza Wijaya,38.0,164.8,12
38,Amalia Nugroho,54.4,146.3,12
39,Rina Utomo,52.6,157.5,12
40,Indah Kusuma,57.9,155.5,10
41,Muhammad Ramadhan,54.6,160.1,11
42,Reza Nugroho,38.0,151.4,11
43,Wahyuni Hidayat,72.1,167.7,12
44,Siti Wijaya,52.0,155.9,10
45,Eko Wijaya,63.4,159.9,10
46,Rina Ramadhan,54.0,163.3,10
47,Sri Puspa,50.5,158.3,10
48,Fatimah Setiawan,49.4,150.9,11
49,Budi Wijaya,50.6,164.8,11
50,Bayu Pratama,43.1,159.8,11
51,Rizky Putri,43.3,163.7,12
52,Bayu Rahma,53.5,162.7,12
53,Zahra Santoso,58.6,147.5,10
54,Sri Puspa,64.9,157.0,10
55,Salsa Saputra,45.5,168.4,11
56,Nabila Utomo,43.1,154.7,11
57,Yoga Lestari,46.6,148.5,10
58,Rizky Putri,38.0,166.7,10
59,Rina Ramadhan,56.1,163.1,10
60,Sri Putri,60.9,164.3,12
61,Aditya Puspa,56.1,151.4,10
62,Rizky Rahma,38.0,157.7,12
63,Sri Hidayat,45.7,159.8,11
64,Indah Putri,47.7,166.2,10
65,Arief Setiawan,55.6,159.8,11
66,Galih Puspa,49.2,156.4,10
67,Reza Utomo,44.0,164.6,11
68,Eko Pratama,42.3,153.8,10
69,Yoga Putri,44.4,166.6,10
70,Dewi Pratama,47.7,158.6,11
71,Reza Pratama,44.1,156.2,10
72,Ahmad Saputra,41.7,160.8,10
73,Bayu Nugroho,48.0,151.4,11
74,Muhammad Wijaya,39.3,153.2,10
75,Aisyah Lestari,41.7,159.1,12
76,Fajar Ramadhan,38.1,168.4,10
77,Amalia Kusuma,49.3,155.6,11
78,Galih Hidayat,38.7,169.6,11
79,Rizky Saputra,60.8,160.4,11
80,Amalia Kurniawan,40.6,156.1,10
81,Muhammad Utomo,62.2,157.4,10
82,Fajar Rahma,66.5,157.3,12
83,Salsa Puspa,64.9,162.6,12
84,Pandu Wijaya,51.1,162.3,12
85,Putri Ramadhan,51.8,167.8,10
86,Muhammad Kusuma,56.5,159.0,10
87,Ahmad Kusuma,56.5,163.5,10
88,Yoga Utomo,47.4,151.4,11
89,Bayu Kurniawan,43.8,154.1,10
90,Dewi Ramadhan,49.6,155.8,12
91,Rina Utomo,54.0,160.0,10
92,Siti Saputra,51.6,161.0,12
93,Nabila Lestari,51.8,167.2,11
94,Amalia Ramadhan,50.4,166.6,12
95,Arief Wijaya,60.7,160.5,10
96,Dewi Santoso,47.3,143.8,11
97,Wahyuni Pratama,62.2,163.1,11
98,Amalia Pratama,50.4,159.2,10
99,Fajar Kusuma,60.2,167.7,10
100,Dewi Putri,55.9,155.8,12
